stock_code,start_date,sw_level_1,sw_level_2,sw_level_3
000001,1991-04-03,,,
000001,2014-01-01,银行,,
000001,2021-07-30,银行,股份制银行Ⅱ,股份制银行Ⅲ
000002,1991-01-29,房地产,房地产开发,住宅开发
000003,1991-04-14,综合,综合Ⅱ,综合Ⅲ
000004,1989-12-23,交通运输,,
000004,2001-09-01,医药生物,,
000004,2007-07-02,房地产,房地产开发,住宅开发
000004,2009-01-01,医药生物,,
000004,2019-07-24,医药生物,化学制药,化学制剂
000004,2021-06-11,计算机,,
000004,2021-07-30,计算机,软件开发,横向通用软件
000005,1990-12-10,房地产,房地产开发,住宅开发
000005,2017-06-29,公用事业,,
000005,2021-07-30,环保,环境治理,综合环境治理
000006,1992-04-27,房地产,房地产开发,住宅开发
000006,2015-10-01,,,
000006,2017-06-29,房地产,房地产开发,住宅开发
000007,1992-04-13,家用电器,黑色家电,其他黑色家电
000007,2006-09-01,房地产,房地产开发,住宅开发
000007,2009-06-01,社会服务,,
000007,2012-10-08,综合,综合Ⅱ,综合Ⅲ
000007,2013-07-01,有色金属,,
000007,2014-01-01,有色金属,小金属,其他小金属
000007,2014-07-01,社会服务,,
000007,2017-06-29,综合,综合Ⅱ,综合Ⅲ
000007,2019-07-24,商贸零售,,
000007,2021-07-30,商贸零售,一般零售,商业物业经营
000008,1992-05-07,综合,综合Ⅱ,综合Ⅲ
000008,2013-01-01,社会服务,,
000008,2015-07-01,机械设备,轨交设备Ⅱ,轨交设备Ⅲ
000009,1991-06-25,房地产,房地产开发,住宅开发
000009,2013-01-01,综合,综合Ⅱ,综合Ⅲ
000009,2021-07-30,电力设备,电池,电池化学品
000010,1995-10-27,商贸零售,贸易Ⅱ,贸易Ⅲ
000010,2007-07-02,综合,综合Ⅱ,综合Ⅲ
000010,2015-07-01,建筑装饰,,
000010,2021-07-30,建筑装饰,基础建设,园林工程
000011,1992-03-30,房地产,房地产开发,住宅开发
000012,1992-02-28,,,
000012,2014-01-01,建筑材料,玻璃玻纤,玻璃制造
000013,1991-12-11,综合,综合Ⅱ,综合Ⅲ
000013,2003-05-01,基础化工,塑料,其他塑料制品
000014,1991-12-19,,,
000014,2001-05-01,房地产,房地产开发,住宅开发
000015,1992-06-25,综合,综合Ⅱ,综合Ⅲ
000016,1992-03-27,家用电器,黑色家电,彩电
000017,1992-03-31,,,
000017,2011-10-10,,,
000017,2014-01-01,汽车,摩托车及其他,其他运输设备
000017,2022-07-29,纺织服饰,饰品,钟表珠宝
000018,1992-06-16,纺织服饰,纺织制造,印染
000018,2013-01-01,综合,综合Ⅱ,综合Ⅲ
000018,2015-07-01,房地产,房地产开发,住宅开发
000018,2016-05-25,建筑装饰,装修装饰Ⅱ,装修装饰Ⅲ
000018,2018-07-13,建筑装饰,专业工程,国际工程
000019,1992-10-12,食品饮料,,
000019,2019-07-24,商贸零售,贸易Ⅱ,贸易Ⅲ
000019,2021-07-30,农林牧渔,农产品加工,粮油加工
000020,1992-04-28,电子,,
000020,2011-10-10,电子,,
000020,2021-07-30,电子,光学光电子,面板
000021,1994-02-02,,,
000021,2014-01-01,计算机,,
000021,2019-07-24,电子,,
000021,2021-07-30,电子,消费电子,消费电子零部件及组装
000023,1993-04-29,,,
000023,2011-10-10,,,
000023,2013-07-01,,,
000023,2014-01-01,建筑材料,装修建材,其他建材
000023,2021-07-30,建筑材料,水泥,水泥制品
000024,1993-03-15,交通运输,,
000024,2002-05-01,房地产,房地产开发,住宅开发
000025,1993-06-21,,,
000025,2014-01-01,汽车,,
000025,2021-07-30,汽车,汽车服务,汽车经销商
000025,2023-07-06,综合,,
000026,1993-06-03,,,
000026,2007-07-02,轻工制造,,
000026,2011-10-10,轻工制造,,
000026,2021-07-30,纺织服饰,饰品,钟表珠宝
000027,1993-09-03,公用事业,电力,火力发电
000028,1993-05-05,食品饮料,,
000028,2001-09-01,医药生物,,
000028,2021-07-30,医药生物,医药商业,医药流通
000029,1993-09-15,房地产,房地产开发,住宅开发
000030,1993-06-28,轻工制造,,
000030,2011-10-10,综合,综合Ⅱ,综合Ⅲ
000030,2013-07-01,,,
000030,2014-01-01,汽车,,
000030,2021-07-30,汽车,汽车零部件,底盘与发动机系统
000031,1993-10-08,房地产,房地产开发,住宅开发
000031,2021-07-30,房地产,房地产开发,商业地产
000032,1993-10-28,,,
000032,2007-07-02,,,
000032,2014-01-01,通信,,
000032,2021-07-30,通信,通信设备,通信终端及配件
000032,2022-07-29,建筑装饰,专业工程,其他专业工程
000033,1994-01-03,社会服务,,
000034,1993-10-18,农林牧渔,,
000034,2001-05-01,,,
000034,2007-07-02,农林牧渔,,
000034,2009-06-01,,,
000034,2014-01-01,通信,,
000034,2015-07-01,农林牧渔,,
000034,2015-11-03,通信,,
000034,2017-05-26,农林牧渔,,
000034,2017-06-29,计算机,,
000034,2021-07-30,计算机,IT服务Ⅱ,IT服务Ⅲ
000035,1994-04-08,,,
000035,2014-01-01,通信,,
000035,2014-07-01,公用事业,,
000035,2021-07-30,环保,环境治理,固废治理
000036,1994-06-17,纺织服饰,,
